Time,var1,var2
1.24,0.726654,7.162398
1.25,0.714219,7.157661
1.26,0.702041,7.152908
1.27,0.690132,7.14814
1.28,0.678501,7.143358
1.29,0.667159,7.13856
1.3,0.656117,7.133749
1.31,0.645384,7.128925
1.32,0.634971,7.124088
1.33,0.624886,7.119238
1.34,0.615138,7.114376
1.35,0.605737,7.109503
1.36,0.596691,7.104619
1.37,0.588008,7.099725
1.38,0.579695,7.09482
1.39,0.571761,7.089906
1.4,0.564212,7.084984
1.41,0.557055,7.080052
1.42,0.550297,7.075113
1.43,0.543944,7.070166
1.44,0.538001,7.065212
1.45,0.532474,7.060251
1.46,0.527367,7.055285
1.47,0.522686,7.050313
1.48,0.518435,7.045336
1.49,0.514616,7.040354
1.5,0.511235,7.035369
1.51,0.508293,7.030379
1.52,0.505794,7.025387
1.53,0.50374,7.020393
1.54,0.502132,7.015396
1.55,0.500973,7.010397
1.56,0.500262,7.005398
1.57,0.500001,7.000398
1.58,0.500191,6.995398
1.59,0.50083,6.990399
1.6,0.501918,6.9854
1.61,0.503454,6.980403
1.62,0.505437,6.975408
1.63,0.507866,6.970415
1.64,0.510737,6.965426
1.65,0.514048,6.96044
1.66,0.517797,6.955457
1.67,0.52198,6.950479
1.68,0.526593,6.945507
1.69,0.531632,6.940539
1.7,0.537093,6.935578
1.71,0.54297,6.930623
1.72,0.549258,6.925675
1.73,0.555952,6.920734
1.74,0.563046,6.915801
1.75,0.570533,6.910877
1.76,0.578406,6.905962
1.77,0.586659,6.901056
1.78,0.595284,6.896159
1.79,0.604273,6.891274
1.8,0.613618,6.886399
1.81,0.623311,6.881535
1.82,0.633342,6.876684
1.83,0.643704,6.871845
1.84,0.654387,6.867018
1.85,0.66538,6.862205
1.86,0.676675,6.857405
1.87,0.68826,6.85262
1.88,0.700126,6.84785
1.89,0.712262,6.843095
1.9,0.724657,6.838355
1.91,0.7373,6.833632
1.92,0.750179,6.828925
1.93,0.763283,6.824236
1.94,0.7766,6.819564
1.95,0.790118,6.81491
1.96,0.803825,6.810274
1.97,0.817708,6.805658
1.98,0.831756,6.801061
1.99,0.845955,6.796483
2.0,0.860292,6.791927
2.01,0.874756,6.787391
2.02,0.889331,6.782876
2.03,0.904007,6.778383
2.04,0.918769,6.773912
2.05,0.933604,6.769464
2.06,0.948499,6.765038
2.07,0.96344,6.760637
2.08,0.978414,6.756259
2.09,0.993408,6.751906
2.1,1.008407,6.747577
2.11,1.023399,6.743274
2.12,1.03837,6.738996
2.13,1.053306,6.734744
2.14,1.068194,6.730519
2.15,1.083021,6.726321
2.16,1.097773,6.72215
2.17,1.112437,6.718007
2.18,1.127001,6.713893
2.19,1.141449,6.709807
2.2,1.155771,6.705749
2.21,1.169952,6.701722
2.22,1.18398,6.697724
2.23,1.197843,6.693756
2.24,1.211528,6.689819
2.25,1.225022,6.685913
2.26,1.238314,6.682039
2.27,1.251391,6.678196
2.28,1.264242,6.674385
2.29,1.276856,6.670607
2.3,1.28922,6.666862
2.31,1.301324,6.66315
2.32,1.313157,6.659472
2.33,1.324707,6.655828
2.34,1.335966,6.652218
2.35,1.346922,6.648643
2.36,1.357567,6.645104
2.37,1.367889,6.641599
2.38,1.37788,6.638131
2.39,1.387531,6.634699
2.4,1.396834,6.631303
2.41,1.405779,6.627944
2.42,1.414359,6.624623
2.43,1.422567,6.621339
2.44,1.430394,6.618092
2.45,1.437833,6.614884
2.46,1.444879,6.611715
2.47,1.451524,6.608584
2.48,1.457763,6.605493
2.49,1.46359,6.602441
2.5,1.469,6.599428
2.51,1.473988,6.596456
2.52,1.478549,6.593524
2.53,1.482679,6.590633
2.54,1.486375,6.587782
2.55,1.489634,6.584973
2.56,1.492452,6.582206
2.57,1.494826,6.57948
2.58,1.496756,6.576796
2.59,1.498238,6.574155
2.6,1.499272,6.571556
2.61,1.499856,6.569
2.62,1.499991,6.566487
2.63,1.499676,6.564017
2.64,1.498911,6.561591
2.65,1.497697,6.559209
2.66,1.496035,6.556871
2.67,1.493927,6.554577
2.68,1.491374,6.552328
2.69,1.488379,6.550123
2.7,1.484945,6.547964
2.71,1.481074,6.54585
2.72,1.47677,6.543781
2.73,1.472038,6.541758
2.74,1.46688,6.53978
2.75,1.461302,6.537849
2.76,1.455309,6.535964
2.77,1.448907,6.534125
2.78,1.4421,6.532333
2.79,1.434895,6.530587
2.8,1.427299,6.528889
2.81,1.419319,6.527237
2.82,1.410961,6.525633
2.83,1.402234,6.524077
2.84,1.393144,6.522568
2.85,1.383701,6.521106
2.86,1.373912,6.519693
2.87,1.363787,6.518328
2.88,1.353334,6.51701
2.89,1.342563,6.515741
2.9,1.331485,6.514521
2.91,1.320107,6.513349
2.92,1.308442,6.512226
2.93,1.296499,6.511151
2.94,1.28429,6.510126
2.95,1.271824,6.509149
2.96,1.259114,6.508221
2.97,1.246171,6.507343
2.98,1.233006,6.506514
2.99,1.219631,6.505734
3.0,1.206059,6.505004
3.01,1.192302,6.504323
3.02,1.178371,6.503692
3.03,1.16428,6.50311
3.04,1.150041,6.502578
3.05,1.135667,6.502096
3.06,1.12117,6.501663
3.07,1.106565,6.501281
3.08,1.091864,6.500948
3.09,1.07708,6.500665
3.1,1.062227,6.500432
3.11,1.047318,6.50025
3.12,1.032366,6.500117
3.13,1.017385,6.500034
3.14,1.002389,6.500001
3.15,0.98739,6.500018
3.16,0.972403,6.500085
3.17,0.957441,6.500202
3.18,0.942516,6.500369
3.19,0.927644,6.500586
3.2,0.912837,6.500853
3.21,0.898108,6.501169
3.22,0.883471,6.501536
3.23,0.868938,6.501953
3.24,0.854524,6.502419
3.25,0.84024,6.502935
3.26,0.826101,6.503501
3.27,0.812118,6.504116
3.28,0.798303,6.504782
3.29,0.784671,6.505496
3.3,0.771232,6.50626
3.31,0.757999,6.507074
3.32,0.744984,6.507936
3.33,0.732198,6.508848
3.34,0.719654,6.509809
3.35,0.707361,6.510819
3.36,0.695332,6.511878
3.37,0.683578,6.512986
3.38,0.672107,6.514142
3.39,0.660932,6.515347
3.4,0.650063,6.516601
3.41,0.639508,6.517903
3.42,0.629277,6.519253
3.43,0.61938,6.520651
3.44,0.609826,6.522097
3.45,0.600623,6.523591
3.46,0.591779,6.525132
3.47,0.583303,6.526721
3.48,0.575201,6.528358
3.49,0.567482,6.530041
3.5,0.560152,6.531772
3.51,0.553218,6.533549
3.52,0.546686,6.535373
3.53,0.540562,6.537243
3.54,0.534851,6.53916
3.55,0.529559,6.541123
3.56,0.524691,6.543131
3.57,0.52025,6.545186
3.58,0.516241,6.547286
3.59,0.512667,6.549431
3.6,0.509532,6.551621
3.61,0.506838,6.553856
3.62,0.504588,6.556135
3.63,0.502784,6.558459
3.64,0.501427,6.560827
3.65,0.500519,6.56324
3.66,0.500061,6.565695
3.67,0.500052,6.568194
3.68,0.500493,6.570737
3.69,0.501384,6.573322
3.7,0.502724,6.57595
3.71,0.504511,6.57862
3.72,0.506744,6.581333
3.73,0.509421,6.584087
3.74,0.512539,6.586883
3.75,0.516096,6.58972
3.76,0.520089,6.592599
3.77,0.524513,6.595518
3.78,0.529365,6.598477
3.79,0.534641,6.601477
3.8,0.540336,6.604516
3.81,0.546444,6.607595
3.82,0.552961,6.610713
3.83,0.559879,6.613871
3.84,0.567194,6.617066
3.85,0.574899,6.6203
3.86,0.582985,6.623573
3.87,0.591448,6.626882
3.88,0.600278,6.630229
3.89,0.609467,6.633613
3.9,0.619008,6.637034
3.91,0.628892,6.640491
3.92,0.63911,6.643984
3.93,0.649653,6.647512
3.94,0.660511,6.651076
3.95,0.671674,6.654674
3.96,0.683133,6.658308
3.97,0.694877,6.661975
3.98,0.706896,6.665676
3.99,0.719178,6.669411
4.0,0.731714,6.673178
4.01,0.74449,6.676978
4.02,0.757497,6.680811
4.03,0.770722,6.684676
4.04,0.784153,6.688572
4.05,0.797778,6.692499
4.06,0.811585,6.696457
4.07,0.825562,6.700445
4.08,0.839696,6.704463
4.09,0.853975,6.708511
4.1,0.868384,6.712588
4.11,0.882912,6.716694
4.12,0.897546,6.720828
4.13,0.912271,6.72499
4.14,0.927076,6.729179
4.15,0.941946,6.733396
4.16,0.956868,6.737639
4.17,0.97183,6.741908
4.18,0.986816,6.746203
4.19,1.001815,6.750524
4.2,1.016812,6.75487
4.21,1.031793,6.75924
4.22,1.046746,6.763634
4.23,1.061657,6.768052
4.24,1.076513,6.772493
4.25,1.0913,6.776956
4.26,1.106004,6.781442
4.27,1.120613,6.78595
4.28,1.135114,6.790479
4.29,1.149493,6.79503
4.3,1.163737,6.7996
4.31,1.177834,6.804191
4.32,1.191771,6.808802
4.33,1.205536,6.813431
4.34,1.219115,6.818079
4.35,1.232498,6.822745
4.36,1.245671,6.82743
4.37,1.258623,6.832131
4.38,1.271342,6.836849
4.39,1.283817,6.841583
4.4,1.296037,6.846334
4.41,1.30799,6.851099
4.42,1.319666,6.85588
4.43,1.331054,6.860675
4.44,1.342145,6.865483
4.45,1.352927,6.870306
4.46,1.363392,6.875141
4.47,1.37353,6.879989
4.48,1.383332,6.884849
4.49,1.392789,6.88972
4.5,1.401892,6.894602
4.51,1.410634,6.899495
4.52,1.419006,6.904398
4.53,1.427001,6.90931
4.54,1.434612,6.914232
4.55,1.441831,6.919162
4.56,1.448653,6.9241
4.57,1.455072,6.929046
4.58,1.46108,6.933999
4.59,1.466674,6.938958
4.6,1.471848,6.943924
4.61,1.476597,6.948895
4.62,1.480917,6.953871
4.63,1.484805,6.958852
4.64,1.488256,6.963837
4.65,1.491268,6.968826
4.66,1.493837,6.973817
4.67,1.495963,6.978812
4.68,1.497642,6.983808
4.69,1.498873,6.988806
4.7,1.499655,6.993806
4.71,1.499987,6.998806
4.72,1.49987,7.003805
4.73,1.499302,7.008805
4.74,1.498286,7.013804
4.75,1.496821,7.018801
4.76,1.494908,7.023797
4.77,1.492551,7.02879
4.78,1.48975,7.03378
4.79,1.486508,7.038767
4.8,1.482829,7.043749
4.81,1.478715,7.048728
4.82,1.47417,7.053702
4.83,1.469199,7.05867
4.84,1.463805,7.063632
4.85,1.457994,7.068589
4.86,1.451771,7.073538
4.87,1.445141,7.07848
4.88,1.43811,7.083414
4.89,1.430686,7.088339
4.9,1.422873,7.093256
4.91,1.414681,7.098164
4.92,1.406115,7.103061
4.93,1.397183,7.107949
4.94,1.387894,7.112825
4.95,1.378256,7.117691
4.96,1.368278,7.122544
4.97,1.357968,7.127386
4.98,1.347336,7.132214
4.99,1.336391,7.137029
5.0,1.325144,7.141831
5.01,1.313604,7.146619
5.02,1.301782,7.151391
5.03,1.289688,7.156149
5.04,1.277334,7.160891
5.05,1.26473,7.165617
5.06,1.251887,7.170326
5.07,1.238819,7.175019
5.08,1.225535,7.179694
5.09,1.212048,7.18435
5.1,1.19837,7.188989
5.11,1.184514,7.193608
5.12,1.170492,7.198209
5.13,1.156316,7.202789
5.14,1.142,7.207349
5.15,1.127556,7.211888
5.16,1.112997,7.216407
5.17,1.098336,7.220903
5.18,1.083587,7.225378
5.19,1.068763,7.229829
5.2,1.053877,7.234258
5.21,1.038942,7.238664
5.22,1.023972,7.243045
5.23,1.008981,7.247403
5.24,0.993982,7.251735
5.25,0.978988,7.256043
5.26,0.964013,7.260325
5.27,0.94907,7.26458
5.28,0.934173,7.26881
5.29,0.919336,7.273012
5.3,0.904571,7.277187
5.31,0.889892,7.281335
5.32,0.875312,7.285454
5.33,0.860844,7.289545
5.34,0.846501,7.293606
5.35,0.832297,7.297639
5.36,0.818243,7.301641
5.37,0.804353,7.305614
5.38,0.790639,7.309556
5.39,0.777114,7.313467
5.4,0.763789,7.317346
5.41,0.750677,7.321194
5.42,0.737789,7.32501
5.43,0.725137,7.328793
5.44,0.712732,7.332544
5.45,0.700586,7.336261
5.46,0.688709,7.339944
5.47,0.677113,7.343594
5.48,0.665807,7.347209
5.49,0.654802,7.35079
5.5,0.644107,7.354335
5.51,0.633733,7.357845
5.52,0.623688,7.361319
5.53,0.613983,7.364757
5.54,0.604624,7.368159
5.55,0.595621,7.371523
5.56,0.586982,7.374851
5.57,0.578715,7.378141
5.58,0.570827,7.381393
5.59,0.563325,7.384607
5.6,0.556216,7.387783
5.61,0.549507,7.39092
5.62,0.543203,7.394018
5.63,0.53731,7.397076
5.64,0.531833,7.400095
5.65,0.526778,7.403073
5.66,0.522149,7.406012
5.67,0.517949,7.40891
5.68,0.514184,7.411766
5.69,0.510856,7.414582
5.7,0.507967,7.417356
5.71,0.505522,7.420089
5.72,0.503522,7.422779
5.73,0.501968,7.425428
5.74,0.500863,7.428033
5.75,0.500207,7.430596
5.76,0.5,7.433116
5.77,0.500244,7.435593
5.78,0.500937,7.438025
5.79,0.50208,7.440415
5.8,0.50367,7.44276
5.81,0.505708,7.445061
5.82,0.50819,7.447317
5.83,0.511114,7.449529
5.84,0.514479,7.451695
5.85,0.51828,7.453817
5.86,0.522515,7.455893
5.87,0.52718,7.457923
5.88,0.53227,7.459908
5.89,0.537782,7.461847
5.9,0.543709,7.463739
5.91,0.550047,7.465585
5.92,0.556789,7.467385
5.93,0.563931,7.469138
5.94,0.571465,7.470844
5.95,0.579385,7.472503
5.96,0.587683,7.474114
5.97,0.596352,7.475679
5.98,0.605384,7.477195
5.99,0.614772,7.478664
6.0,0.624506,7.480085
6.01,0.634579,7.481458
6.02,0.64498,7.482783
6.03,0.6557,7.48406
6.04,0.666731,7.485288
6.05,0.678061,7.486468
6.06,0.689681,7.487599
6.07,0.70158,7.488681
6.08,0.713748,7.489714
6.09,0.726174,7.490699
6.1,0.738846,7.491634
6.11,0.751753,7.49252
6.12,0.764883,7.493357
6.13,0.778225,7.494145
6.14,0.791766,7.494883
6.15,0.805495,7.495572
6.16,0.819399,7.496211
6.17,0.833466,7.496801
6.18,0.847682,7.497341
6.19,0.862036,7.497831
6.2,0.876513,7.498271
6.21,0.891102,7.498662
6.22,0.905789,7.499002
6.23,0.92056,7.499293
6.24,0.935403,7.499534
6.25,0.950304,7.499725
6.26,0.96525,7.499866
6.27,0.980227,7.499957
6.28,0.995222,7.499997
6.29,1.010221,7.499988
6.3,1.025211,7.499929
6.31,1.040179,7.49982
6.32,1.05511,7.499661
6.33,1.069991,7.499452
6.34,1.08481,7.499193
6.35,1.099552,7.498884
6.36,1.114205,7.498526
6.37,1.128755,7.498117
6.38,1.143189,7.497659
6.39,1.157494,7.49715
6.4,1.171657,7.496592
6.41,1.185666,7.495985
6.42,1.199508,7.495328
6.43,1.213171,7.494621
6.44,1.226641,7.493865
6.45,1.239908,7.493059
6.46,1.252958,7.492204
6.47,1.265781,7.4913
6.48,1.278365,7.490347
6.49,1.290698,7.489345
6.5,1.30277,7.488294
6.51,1.314569,7.487194
6.52,1.326085,7.486045
6.53,1.337308,7.484848
6.54,1.348227,7.483602
6.55,1.358833,7.482308
6.56,1.369115,7.480965
6.57,1.379066,7.479575
6.58,1.388676,7.478136
6.59,1.397935,7.47665
6.6,1.406837,7.475116
6.61,1.415372,7.473535
6.62,1.423534,7.471906
6.63,1.431314,7.47023
6.64,1.438707,7.468507
6.65,1.445704,7.466737
6.66,1.452301,7.464921
6.67,1.45849,7.463058
6.68,1.464267,7.461148
6.69,1.469626,7.459193
6.7,1.474562,7.457192
6.71,1.479072,7.455144
6.72,1.48315,7.453052
6.73,1.486793,7.450914
6.74,1.489998,7.448731
6.75,1.492763,7.446503
6.76,1.495083,7.444231
6.77,1.496959,7.441914
6.78,1.498387,7.439553
6.79,1.499366,7.437148
6.8,1.499896,7.434699
6.81,1.499977,7.432206
6.82,1.499607,7.429671
6.83,1.498788,7.427093
6.84,1.49752,7.424471
6.85,1.495804,7.421808
6.86,1.493642,7.419102
6.87,1.491035,7.416354
6.88,1.487987,7.413565
6.89,1.4845,7.410734
6.9,1.480576,7.407863
6.91,1.47622,7.40495
6.92,1.471436,7.401997
6.93,1.466227,7.399004
6.94,1.460599,7.395971
6.95,1.454556,7.392898
6.96,1.448104,7.389786
6.97,1.441249,7.386635
6.98,1.433997,7.383445
6.99,1.426354,7.380217
7.0,1.418328,7.376951
7.01,1.409925,7.373647
7.02,1.401153,7.370306
7.03,1.39202,7.366928
7.04,1.382535,7.363513
7.05,1.372705,7.360062
7.06,1.362539,7.356575
7.07,1.352048,7.353052
7.08,1.341239,7.349494
7.09,1.330124,7.345901
7.1,1.318711,7.342273
7.11,1.307012,7.338611
7.12,1.295036,7.334916
7.13,1.282795,7.331186
7.14,1.270299,7.327424
7.15,1.25756,7.323629
7.16,1.24459,7.319801
7.17,1.231399,7.315942
7.18,1.218,7.312051
7.19,1.204404,7.308129
7.2,1.190625,7.304176
7.21,1.176674,7.300192
7.22,1.162565,7.296179
7.23,1.148309,7.292136
7.24,1.133919,7.288063
7.25,1.119409,7.283962
7.26,1.104792,7.279833
7.27,1.09008,7.275675
7.28,1.075287,7.27149
7.29,1.060426,7.267278
7.3,1.045511,7.263039
7.31,1.030555,7.258773
7.32,1.015572,7.254482
7.33,1.000574,7.250166
7.34,0.985576,7.245824
7.35,0.970591,7.241458
7.36,0.955633,7.237068
7.37,0.940714,7.232654
7.38,0.925849,7.228216
7.39,0.91105,7.223756
7.4,0.896332,7.219274
7.41,0.881707,7.214769
7.42,0.867188,7.210243
7.43,0.852789,7.205696
7.44,0.838522,7.201129
7.45,0.8244,7.196541
7.46,0.810437,7.191934
7.47,0.796644,7.187308
7.48,0.783034,7.182662
7.49,0.76962,7.177999
7.5,0.756413,7.173318
7.51,0.743425,7.168619
7.52,0.730668,7.163904
7.53,0.718153,7.159172
7.54,0.705892,7.154424
7.55,0.693895,7.149661
7.56,0.682175,7.144883
7.57,0.67074,7.14009
7.58,0.659601,7.135283
7.59,0.648769,7.130463
7.6,0.638253,7.12563
7.61,0.628062,7.120784
7.62,0.618206,7.115926
7.63,0.608694,7.111057
7.64,0.599534,7.106176
7.65,0.590734,7.101285
7.66,0.582302,7.096384
7.67,0.574247,7.091473
7.68,0.566574,7.086553
7.69,0.559292,7.081624
7.7,0.552406,7.076687
7.71,0.545923,7.071742
7.72,0.539849,7.066791
7.73,0.534189,7.061832
7.74,0.528948,7.056867
7.75,0.524131,7.051897
7.76,0.519742,7.046922
7.77,0.515785,7.041941
7.78,0.512264,7.036957
7.79,0.509182,7.031969
7.8,0.506542,7.026978
7.81,0.504346,7.021984
7.82,0.502596,7.016988
7.83,0.501293,7.01199
7.84,0.50044,7.006991
7.85,0.500036,7.001991
7.86,0.500081,6.996991
7.87,0.500577,6.991991
7.88,0.501522,6.986992
7.89,0.502916,6.981995
7.9,0.504757,6.976999
7.91,0.507044,6.972005
7.92,0.509774,6.967015
7.93,0.512946,6.962027
7.94,0.516556,6.957044
7.95,0.520601,6.952065
7.96,0.525077,6.94709
7.97,0.529981,6.942121
7.98,0.535308,6.937157
7.99,0.541053,6.9322
8.0,0.547211,6.92725
8.01,0.553776,6.922307
8.02,0.560743,6.917372
8.03,0.568106,6.912445
8.04,0.575857,6.907526
8.05,0.583989,6.902617
8.06,0.592497,6.897718
8.07,0.60137,6.892829
8.08,0.610603,6.887951
8.09,0.620186,6.883083
8.1,0.630111,6.878228
8.11,0.640368,6.873385
8.12,0.65095,6.868554
8.13,0.661845,6.863737
8.14,0.673045,6.858933
8.15,0.684539,6.854143
8.16,0.696317,6.849368
8.17,0.708368,6.844608
8.18,0.720682,6.839863
8.19,0.733247,6.835135
8.2,0.746052,6.830423
8.21,0.759085,6.825727
8.22,0.772336,6.82105
8.23,0.785791,6.81639
8.24,0.799439,6.811749
8.25,0.813268,6.807126
8.26,0.827264,6.802523
8.27,0.841416,6.797939
8.28,0.855711,6.793376
8.29,0.870136,6.788833
8.3,0.884677,6.784312
8.31,0.899322,6.779812
8.32,0.914058,6.775334
8.33,0.928872,6.770878
8.34,0.943749,6.766445
8.35,0.958677,6.762036
8.36,0.973642,6.757651
8.37,0.98863,6.75329
8.38,1.003629,6.748953
8.39,1.018625,6.744642
8.4,1.033604,6.740356
8.41,1.048553,6.736096
8.42,1.063458,6.731862
8.43,1.078306,6.727655
8.44,1.093083,6.723476
8.45,1.107777,6.719324
8.46,1.122374,6.7152
8.47,1.13686,6.711105
8.48,1.151223,6.707039
8.49,1.165451,6.703001
8.5,1.179529,6.698994
8.51,1.193446,6.695017
8.52,1.207189,6.69107
8.53,1.220745,6.687154
8.54,1.234103,6.683269
8.55,1.24725,6.679416
8.56,1.260174,6.675595
8.57,1.272864,6.671807
8.58,1.285309,6.668051
8.59,1.297497,6.664329
8.6,1.309418,6.66064
8.61,1.321059,6.656985
8.62,1.332412,6.653364
8.63,1.343466,6.649778
8.64,1.354211,6.646227
8.65,1.364636,6.642712
8.66,1.374734,6.639232
8.67,1.384495,6.635788
8.68,1.393909,6.632381
8.69,1.402969,6.62901
8.7,1.411667,6.625677
8.71,1.419993,6.622381
8.72,1.427942,6.619122
8.73,1.435506,6.615902
8.74,1.442678,6.61272
8.75,1.449451,6.609577
8.76,1.45582,6.606473
8.77,1.461779,6.603408
8.78,1.467322,6.600383
8.79,1.472445,6.597398
8.8,1.477143,6.594453
8.81,1.481411,6.591549
8.82,1.485246,6.588686
8.83,1.488644,6.585864
8.84,1.491602,6.583083
8.85,1.494118,6.580343
8.86,1.496189,6.577646
8.87,1.497814,6.574991
8.88,1.498991,6.572379
8.89,1.499719,6.569809
8.9,1.499997,6.567282
8.91,1.499825,6.564799
8.92,1.499203,6.562359
8.93,1.498132,6.559963
8.94,1.496613,6.557611
8.95,1.494647,6.555303
8.96,1.492235,6.553039
8.97,1.489381,6.550821
8.98,1.486086,6.548647
8.99,1.482354,6.546518
9.0,1.478188,6.544435
9.01,1.473591,6.542397
9.02,1.468569,6.540405
9.03,1.463124,6.538459
9.04,1.457263,6.536559
9.05,1.45099,6.534706
9.06,1.444311,6.532899
9.07,1.437233,6.531138
9.08,1.429761,6.529425
9.09,1.421902,6.527758
9.1,1.413664,6.526139
9.11,1.405053,6.524567
9.12,1.396078,6.523043
9.13,1.386746,6.521567
9.14,1.377067,6.520138
9.15,1.367048,6.518757
9.16,1.356698,6.517425
9.17,1.346028,6.51614
9.18,1.335046,6.514904
9.19,1.323763,6.513717
9.2,1.312189,6.512578
9.21,1.300333,6.511488
9.22,1.288207,6.510447
9.23,1.275822,6.509455
9.24,1.263189,6.508511
9.25,1.250318,6.507617
9.26,1.237223,6.506773
9.27,1.223914,6.505977
9.28,1.210403,6.505231
9.29,1.196703,6.504534
9.3,1.182826,6.503887
9.31,1.168785,6.50329
9.32,1.154592,6.502742
9.33,1.140259,6.502244
9.34,1.1258,6.501796
9.35,1.111228,6.501397
9.36,1.096556,6.501049
9.37,1.081798,6.50075
9.38,1.066965,6.500501
9.39,1.052072,6.500302
9.4,1.037133,6.500153
9.41,1.02216,6.500055
9.42,1.007167,6.500006
9.43,0.992167,6.500007
9.44,0.977175,6.500058
9.45,0.962203,6.500159
9.46,0.947265,6.50031
9.47,0.932375,6.500511
9.48,0.917545,6.500762
9.49,0.90279,6.501063
9.5,0.888122,6.501414
9.51,0.873555,6.501815
9.52,0.859102,6.502265
9.53,0.844775,6.502765
9.54,0.830588,6.503315
9.55,0.816554,6.503915
9.56,0.802685,6.504564
9.57,0.788993,6.505263
9.58,0.775491,6.506011
9.59,0.762191,6.506809
9.6,0.749105,6.507656
9.61,0.736245,6.508552
9.62,0.723623,6.509498
9.63,0.711249,6.510492
9.64,0.699135,6.511536
9.65,0.687291,6.512628
9.66,0.675729,6.513769
9.67,0.664459,6.514958
9.68,0.653491,6.516196
9.69,0.642835,6.517483
9.7,0.6325,6.518818
9.71,0.622496,6.5202
9.72,0.612832,6.521631
9.73,0.603516,6.52311
9.74,0.594557,6.524636
9.75,0.585962,6.52621
9.76,0.577741,6.527831
9.77,0.569899,6.5295
9.78,0.562444,6.531215
9.79,0.555383,6.532978
9.8,0.548723,6.534787
9.81,0.542468,6.536642
9.82,0.536625,6.538544
9.83,0.531199,6.540493
9.84,0.526195,6.542487
9.85,0.521618,6.544526
9.86,0.517471,6.546612
9.87,0.513758,6.548742
9.88,0.510483,6.550918
9.89,0.507648,6.553139
9.9,0.505256,6.555404
9.91,0.50331,6.557714
9.92,0.501811,6.560068
9.93,0.50076,6.562466
9.94,0.500158,6.564908
9.95,0.500006,6.567394
9.96,0.500304,6.569922
9.97,0.501052,6.572494
9.98,0.502248,6.575108
